Datetime,Silver,Palladium,Gold
2022-01-02 18:00:00-05:00,23.440000534057617,1905.0,1833.0
2022-01-02 19:00:00-05:00,23.34000015258789,1901.0,1831.699951171875
2022-01-02 20:00:00-05:00,23.334999084472656,1907.0,1832.5999755859373
2022-01-02 22:00:00-05:00,23.23500061035156,1899.0,1827.9000244140625
2022-01-03 00:00:00-05:00,23.21500015258789,1894.0,1826.5999755859373
2022-01-03 01:00:00-05:00,23.21500015258789,1895.0,1826.5999755859373
2022-01-03 02:00:00-05:00,23.209999084472656,1894.0,1826.300048828125
2022-01-03 03:00:00-05:00,23.23500061035156,1895.0,1824.699951171875
2022-01-03 04:00:00-05:00,23.31999969482422,1905.0,1827.0999755859373
2022-01-03 05:00:00-05:00,23.350000381469727,1907.5,1828.0
2022-01-03 06:00:00-05:00,23.30500030517578,1905.5,1827.699951171875
2022-01-03 07:00:00-05:00,23.280000686645508,1906.5,1823.800048828125
2022-01-03 08:00:00-05:00,23.225000381469727,1905.5,1822.699951171875
2022-01-03 09:00:00-05:00,22.864999771118164,1898.5,1811.199951171875
2022-01-03 10:00:00-05:00,23.01499938964844,1893.0,1806.699951171875
2022-01-03 11:00:00-05:00,22.8799991607666,1878.0,1801.4000244140625
2022-01-03 12:00:00-05:00,22.8799991607666,1847.5,1800.9000244140625
2022-01-03 13:00:00-05:00,22.90999984741211,1826.0,1802.0999755859373
2022-01-03 14:00:00-05:00,22.93000030517578,1827.5,1802.9000244140625
2022-01-03 15:00:00-05:00,22.95499992370605,1827.5,1804.4000244140625
2022-01-03 16:00:00-05:00,22.93000030517578,1827.0,1802.300048828125
2022-01-03 18:00:00-05:00,22.94499969482422,1838.5,1804.4000244140625
2022-01-03 19:00:00-05:00,22.96999931335449,1845.0,1805.0
2022-01-03 20:00:00-05:00,23.059999465942383,1847.5,1807.199951171875
2022-01-03 21:00:00-05:00,22.854999542236328,1858.0,1806.9000244140625
2022-01-03 22:00:00-05:00,22.809999465942383,1860.0,1806.0
2022-01-03 23:00:00-05:00,22.809999465942383,1859.0,1804.0
2022-01-04 00:00:00-05:00,22.850000381469727,1852.0,1805.0999755859373
2022-01-04 01:00:00-05:00,22.81999969482422,1844.0,1805.5
2022-01-04 02:00:00-05:00,22.905000686645508,1841.5,1807.800048828125
2022-01-04 03:00:00-05:00,22.905000686645508,1848.0,1807.0
2022-01-04 04:00:00-05:00,22.88500022888184,1871.5,1806.9000244140625
2022-01-04 05:00:00-05:00,22.8700008392334,1873.0,1807.5
2022-01-04 06:00:00-05:00,22.854999542236328,1871.0,1805.800048828125
2022-01-04 07:00:00-05:00,22.895000457763672,1859.0,1805.0
2022-01-04 08:00:00-05:00,22.95499992370605,1889.5,1807.300048828125
2022-01-04 09:00:00-05:00,23.06999969482422,1896.0,1811.5999755859373
2022-01-04 10:00:00-05:00,23.13999938964844,1896.0,1817.199951171875
2022-01-04 11:00:00-05:00,23.09499931335449,1877.5,1816.199951171875
2022-01-04 12:00:00-05:00,23.09499931335449,1883.5,1815.5
2022-01-04 13:00:00-05:00,23.084999084472656,1871.5,1815.699951171875
2022-01-04 14:00:00-05:00,23.09499931335449,1877.0,1815.800048828125
2022-01-04 15:00:00-05:00,23.11000061035156,1876.0,1815.699951171875
2022-01-04 16:00:00-05:00,23.09499931335449,1876.0,1815.699951171875
2022-01-04 18:00:00-05:00,23.11000061035156,1881.5,1815.5999755859373
2022-01-04 19:00:00-05:00,23.11000061035156,1879.0,1815.0999755859373
2022-01-04 22:00:00-05:00,23.045000076293945,1876.0,1816.800048828125
2022-01-04 23:00:00-05:00,23.01000022888184,1876.0,1815.699951171875
2022-01-05 00:00:00-05:00,23.020000457763672,1867.5,1816.4000244140625
2022-01-05 01:00:00-05:00,22.98500061035156,1855.5,1817.0999755859373
2022-01-05 02:00:00-05:00,22.96999931335449,1856.0,1816.0
2022-01-05 03:00:00-05:00,23.0049991607666,1918.0,1818.199951171875
2022-01-05 04:00:00-05:00,23.09499931335449,1924.5,1820.9000244140625
2022-01-05 05:00:00-05:00,23.114999771118164,1917.0,1820.300048828125
2022-01-05 06:00:00-05:00,23.13500022888184,1922.0,1821.300048828125
2022-01-05 07:00:00-05:00,23.104999542236328,1917.5,1819.699951171875
2022-01-05 08:00:00-05:00,23.299999237060547,1914.0,1828.699951171875
2022-01-05 09:00:00-05:00,23.290000915527344,1915.0,1830.699951171875
2022-01-05 10:00:00-05:00,23.225000381469727,1918.0,1827.4000244140625
2022-01-05 11:00:00-05:00,23.174999237060547,1912.5,1825.699951171875
2022-01-05 12:00:00-05:00,23.190000534057617,1908.0,1826.0999755859373
2022-01-05 13:00:00-05:00,23.18000030517578,1904.5,1825.4000244140625
2022-01-05 14:00:00-05:00,23.170000076293945,1902.0,1825.0999755859373
2022-01-05 15:00:00-05:00,22.8700008392334,1876.0,1814.4000244140625
2022-01-05 16:00:00-05:00,22.81999969482422,1868.0,1810.9000244140625
2022-01-05 18:00:00-05:00,22.834999084472656,1869.0,1811.5999755859373
2022-01-05 19:00:00-05:00,22.834999084472656,1869.0,1810.5999755859373
